"ID","Area","Feature","User Story","Expected Behavior From Code","Primary Source","Existing Test Coverage","Status","Baseline Result","Errors Found","Fix Status","Retest Result","Notes"
"US-001","App Shell","Default launch route","As a returning user, I want the app to open directly to dictation so I can start speaking quickly.","App initializes activeView to dictation, wraps content in ThemeProvider, ToastProvider, RecordingProvider, and DataCacheProvider, and lazy-loads the selected view with a loading fallback.","src/App.tsx","src/__tests__/app-shell.test.tsx; src/__tests__/dictation-view.test.tsx; src/__tests__/sidebar.test.tsx","Retested pass","Focused App-shell test added and passed.","Pending","No fix needed in this pass.","Focused app-shell test confirms returning users land on Dictation.","AFK-safe renderer tests only unless permissions are already granted."
"US-002","App Shell","First-run onboarding","As a new user, I want guided setup to appear automatically so I can prepare dictation and meetings before relying on the app.","App checks ONBOARDING_STORAGE_KEY and opens FirstRunWizard in full mode until completion writes onboarding storage.","src/App.tsx; src/components/first-run-wizard.tsx; src/lib/onboarding.ts","src/__tests__/app-shell.test.tsx; src/__tests__/first-run-wizard.test.tsx","Retested pass","Focused App-shell test added and passed.","Pending","No fix needed in this pass.","Focused app-shell test confirms first-run wizard appears and completion writes onboarding storage.","Do not trigger OS permission popups while user is AFK."
"US-003","App Shell","Runtime warning toasts","As a user, I want provider, audio, and accessibility warnings surfaced immediately so I know what failed and what to fix.","App listens for asr-provider-warning, audio-input-advisory, and accessibility-permission-warning IPC events and shows toast messages.","src/App.tsx; src/components/toast.tsx","src/__tests__/app-shell.test.tsx; src/__tests__/electron-ipc-bridge.test.ts","Retested pass","Focused App-shell test added and passed.","Pending","No fix needed in this pass.","Focused app-shell test confirms provider warning events render as toasts.","Accessibility copy points to macOS System Settings."
"US-004","App Shell","Error recovery boundary","As a user, I want a crashed view to show a recovery action instead of leaving a blank app.","ErrorBoundary renders a panel with the error message and a Try Again button that resets boundary state.","src/App.tsx","src/__tests__/app-shell.test.tsx","Retested pass","Focused App-shell test added and passed.","Pending","No UX fix needed beyond exporting boundary for direct testability.","Focused test confirms a crashed child shows the recovery panel and Try Again remounts the child.","Test simulates an AFK-safe renderer crash without native dialogs."
"US-005","Navigation","Sidebar primary navigation","As a user, I want clear navigation between Home, Dictation, Meetings, Projects, Settings, Setup, and Exports.","Sidebar renders primary, secondary, and more navigation items; selecting an item changes activeView.","src/components/sidebar.tsx; src/App.tsx","src/__tests__/sidebar.test.tsx; src/__tests__/app-shell.test.tsx","Retested pass","Focused sidebar test added and passed.","More-menu items were visually hidden but still exposed to assistive technology while collapsed.","Fixed in Sidebar: hidden More-menu content now uses the hidden attribute until expanded.","Focused sidebar test confirms primary, secondary, Setup, and Exports routes and verifies Setup/Exports are hidden until More expands.","Exports and Setup live under More."
"US-006","Navigation","Sidebar collapse","As a user, I want to collapse the sidebar to preserve workspace width.","Sidebar toggles between 72px and 18rem widths, hides labels when collapsed, and keeps icon tooltips accessible.","src/components/sidebar.tsx","src/__tests__/sidebar.test.tsx","Retested pass","Focused sidebar test added and passed.","Pending","No fix needed in this pass.","Focused sidebar test confirms Collapse sidebar and Expand sidebar controls fire the collapse handler and collapsed icon rail keeps accessible labels.","Icon buttons keep accessible labels."
"US-007","Navigation","Keyboard shortcuts","As a keyboard-first user, I want app-level shortcuts to switch views without leaving my current flow.","App maps Command-H, Command-D, Command-M, Command-P, and Command-comma to views, ignoring editable inputs.","src/App.tsx; src/components/sidebar.tsx; src/lib/shortcuts.ts","src/__tests__/app-shell.test.tsx; src/__tests__/sidebar.test.tsx; src/__tests__/dictation-hotkey.test.ts","Retested pass","Focused App-shell test added and passed for all App-level shortcuts.","Pending","No fix needed in this pass.","Command-H, Command-D, Command-M, Command-P, Command-comma, and editable-input guard verified.","macOS Command-only behavior."
"US-008","Navigation","Shortcut help","As a user, I want to see available navigation and dictation shortcuts when I need help.","Sidebar builds shortcut groups from current settings and opens a shortcut help dialog.","src/components/sidebar.tsx; src/lib/shortcuts.ts","src/__tests__/sidebar.test.tsx","Retested pass","Focused sidebar test added and passed.","Pending","No fix needed in this pass.","Focused sidebar test confirms collapsed Keyboard shortcuts opens a dialog listing dictation and navigation shortcuts.","Trigger is discoverable from the collapsed rail through its accessible label."
"US-009","Navigation","Local or cloud status","As a privacy-conscious user, I want the sidebar to tell me whether the workspace is local-only or cloud enabled.","Sidebar polls settings every 5 seconds and derives Local only or Cloud Enabled from llmProvider and remoteProcessingEnabled.","src/components/sidebar.tsx; src/lib/backend/settings.ts","src/__tests__/sidebar.test.tsx","Retested pass","Baseline tests passed before fix","Hover-only tooltip hid detail from keyboard users.","Fixed in sidebar: status is now a focusable button with aria-label detail and Settings action.","Focused sidebar test passed; full suite passed.","Copy must avoid absolute privacy claims."
"US-010","Theme","Theme toggle","As a user, I want to switch between system, dark, and light themes.","ThemeToggle uses ThemeProvider state and app color tokens to update the UI theme, exposes menu radio checked state, and persists changes through settings.","src/components/theme-provider.tsx; src/components/theme-toggle.tsx; src/index.css","src/__tests__/theme-toggle.test.tsx","Retested pass","Focused ThemeToggle test added and passed.","Theme menu did not expose which option was currently active; provider default theme was dark while initial isDark started false.","Fixed in ThemeToggle and ThemeProvider: menu options now expose aria-checked selected state with a checkmark, and provider starts with dark state aligned to the default theme.","Focused theme test passed; Playwright smoke verified rendered theme menu.","Saved non-dark themes still hydrate after mount, so a first-paint flash remains possible without an HTML bootstrap script."
"US-011","Home","Workspace readiness summary","As a user, I want Home to summarize whether dictation and meetings are ready before I start working.","DashboardView uses useSetupStatus to generate readiness headline, quick actions, and setup prompts.","src/components/views/dashboard-view.tsx; src/hooks/use-setup-status.ts","src/__tests__/dashboard-view.test.tsx; src/__tests__/use-setup-status.test.ts","Retested pass","Focused dashboard test added and passed.","Pending","No fix needed in this pass.","Focused dashboard test confirms the ready headline, ready badge, meeting/project counters, and audio summary render from mocked setup status and recordings.","Readiness language avoids claiming meetings are ready when both setup flags are false."
"US-012","Home","Quick start actions","As a user, I want one-click paths from Home to dictation, meetings, and setup.","Dashboard buttons call requestMainView and requestOnboarding for the relevant surface.","src/components/views/dashboard-view.tsx; src/lib/navigation.ts; src/lib/onboarding.ts","src/__tests__/dashboard-view.test.tsx","Retested pass","Focused dashboard test added and passed.","Pending","No fix needed in this pass.","Focused dashboard test confirms Start Dictation, Open dictation, Open meetings, Setup, ready cards, and incomplete setup cards route to the expected main views or onboarding modes.","Actions are enabled and labels are clear in the tested states."
"US-013","Home","Recent recording timeline","As a user, I want Home to show recent meeting activity so I can resume work quickly.","Dashboard groups recordings by date and renders recent recordings with project and duration context.","src/components/views/dashboard-view.tsx; src/hooks/use-recordings.ts","src/__tests__/dashboard-view.test.tsx; src/__tests__/use-recordings.test.ts","Retested pass","Focused dashboard test added and passed.","Pending","No fix needed in this pass.","Focused dashboard test confirms a recent recording renders with duration and opens the Meetings workspace.","Empty state still covered indirectly by existing component behavior, not by this focused test."
"US-014","Home","Global transcript search","As a user, I want to search across transcripts and select matching meetings for follow-up analysis.","Dashboard runs searchTranscripts, stores hits, and selects unique recording IDs from search results.","src/components/views/dashboard-view.tsx; src/lib/backend/ai.ts","src/__tests__/dashboard-view.test.tsx","Retested pass","Baseline tests passed before fix","Zero-result search gave no visible feedback.","Fixed in DashboardView: no-match state appears after completed empty search.","Focused dashboard test passed; full suite passed; Playwright smoke verified rendered no-match state.","Needs loading and error proof."
"US-015","Home","Cross-recording analysis","As a user, I want to ask a question across selected meetings and see cited answers.","Dashboard sends selected recording IDs plus analysis query to analyzeRecordings and renders response citations.","src/components/views/dashboard-view.tsx; src/lib/backend/ai.ts","src/__tests__/dashboard-view.test.tsx","Retested pass","Baseline tests passed before fix","Disabled analysis action did not explain that meetings must be selected first.","Fixed in DashboardView: helper text explains search and selection requirement.","Focused dashboard test passed; full suite passed.","Depends on backend availability."
"US-016","Home","Meeting memory chat","As a user, I want a threaded memory chat that uses prior meetings as source material.","Dashboard builds recent message context, calls askMemory, appends user and assistant messages, and ignores stale responses.","src/components/views/dashboard-view.tsx; src/lib/backend/ai.ts","src/__tests__/dashboard-view.test.tsx","Retested pass","Focused dashboard test passed.","Pending","No fix needed in this pass.","Focused dashboard test confirms follow-up prompts include the prior user and assistant thread, citations render, and Clear thread appears.","Stale-request guard exists via currentRequestIdRef but is not directly asserted."
"US-017","Home","Relationship memory","As a user, I want people and company memory profiles from past meetings so I can review context quickly.","Dashboard loads getRelationshipMemory, shows loading and error state, and can generate person or company prompts.","src/components/views/dashboard-view.tsx; src/lib/backend/ai.ts","src/__tests__/dashboard-view.test.tsx","Retested pass","Focused dashboard test passed.","Pending","No fix needed in this pass.","Focused dashboard test confirms people and company profiles render and Ask on a company card sends the targeted memory prompt.","Loading, empty, and error states are visible in code but not all directly asserted yet."
