id,severity,area,title,evidence,user_impact,root_cause,recommended_fix,regression_guard,status
AUD-001,P1,Dictation routing,Requested dictation route is overwritten after fallback,"rust-sidecar/src/models.rs:122; rust-sidecar/src/lib.rs:12669; rust-sidecar/src/lib.rs:13244","Fallback telemetry can underreport the user-selected provider and make Moonshine or other provider failures harder to explain.","The start path resolved requested and actual routes, then stored the actual route in fields named requested_provider and requested_model_id.","Split requested and actual fields in DictationStartOptions and persisted history. Keep requestedSelection in requested fields, resolved selection in actual fields, and make stop/transcribe use actual fields explicitly.","Rust compile coverage plus follow-up scenario test for Moonshine selected, fallback enabled, MLX or Parakeet actual route, and history showing requested Moonshine plus actual fallback.",Fixed
AUD-002,P1,IPC contract,Renderer IPC command contract is duplicated and stringly typed,"electron/ipc-bridge.ts:40; src/lib/electron.ts:18; rust-sidecar/src/lib.rs:17115; scripts/verify-ipc-contract.mjs:1","Adding or removing commands can drift across Electron, renderer wrappers, and the Rust sidecar without compile-time coverage.","The migration kept a broad allowlist, a generic invoke API, and a large Rust match table as separate sources of truth.","Introduce a single command catalog with command name, params, result type, timeout class, and renderer exposure. Generate or validate the Electron allowlist and TypeScript client from that catalog.","gate:ipc-contract validates renderer allowlist against sidecar dispatch. Remaining catalog generation is tracked separately.",Guarded
AUD-003,P1,Architecture,Rust sidecar lib.rs is carrying too many runtime domains,"rust-sidecar/src/lib.rs:66; rust-sidecar/src/lib.rs:12658; rust-sidecar/src/lib.rs:14013; rust-sidecar/src/lib.rs:14452","Small dictation, meeting, license, or IPC changes have high regression risk because unrelated flows share one 17k-line module.","Command routing, app state, dictation lifecycle, meeting processing, platform paste, settings normalization, and tests are concentrated in one file.","Extract command modules by domain, move dictation and meeting lifecycle state machines behind narrow services, and keep lib.rs as app composition plus command dispatch only.","Module-boundary tests for command registration and existing Rust tests moved with behavior unchanged.",Open
AUD-004,P1,Settings performance,Settings shell no longer blocks on backup scan but still starts too much first-load work,"src/components/views/settings-view-simple.tsx:731; src/components/views/settings-view-simple.tsx:757; src/components/views/settings-view-simple.tsx:791; src/components/views/settings-view-simple.tsx:814; src/components/views/settings-view-simple.tsx:897; src/components/views/settings-view-simple.tsx:987","First Settings open can still feel slow or jittery because permission, license, keychain, backup, and diarization probes start around initial render.","The view has lazy sections, but several secondary probes are still mounted globally and compete with the first useful paint.","Move permission, license, keychain, and diarization probes behind section-level loaders with independent loading and error states. Keep only getSettings in the critical path.","Secondary Settings loaders now have section-level timeout guards. Still needs packaged cold Settings timing artifact.",Partial
AUD-005,P1,Frontend maintainability,Dictation and Meetings views are oversized state containers,"src/components/views/dictation-view.tsx:1075; src/components/views/dictation-view.tsx:2059; src/components/views/recordings-view.tsx:700; src/components/views/recordings-view.tsx:797","Profile, routing, meeting notes, chat, recall, exports, and transcript editing regressions are likely because local state and effects are tightly coupled.","Large views own domain state, persistence, UI rendering, async request guards, and telemetry formatting in one component.","Split each view into a domain hook, command handlers, and presentational sections. Preserve behavior while making profile CRUD, route selection, and meeting detail independently testable.","Focused component tests for each extracted section and unchanged full-view smoke tests.",Open
AUD-006,P1,Packaged QA,Dictation launch app matrix remains 1 of 16 verified,"docs/dictation-app-compatibility-matrix.md:18; docs/dictation-app-compatibility-matrix.md:19; docs/launch-readiness-dashboard.md:20","The app cannot honestly claim broad system-wide dictation parity until packaged insertion evidence exists for target apps.","Product behavior may be implemented, but launch certification is incomplete for most frozen macOS and Windows app targets.","Run packaged insertion capture per matrix row, record scratch target evidence, fix delivery route failures, and only then update statuses.","Gate app-matrix plus per-app artifact verifier in CI or release checklist.",Known blocker
AUD-007,P1,Windows readiness,Windows packaged QA is still entirely blocked,"docs/packaged-app-qa-matrix.md:42; docs/packaged-app-qa-matrix.md:46; docs/launch-readiness-dashboard.md:47","Dual-platform GA remains blocked even if macOS feels good locally.","Windows install, capture, meetings, retention, export, backup, license, and signing rows have no passing packaged evidence.","Execute the Windows handoff on a Windows release host, copy back artifacts, and fix product failures before signing.","Windows packaged QA runner plus gate:windows-handoff:verify and gate:qa-matrix.",Known blocker
AUD-008,P2,Overlay lifecycle,Overlay visibility still has multiple owners,"rust-sidecar/src/lib.rs:12803; rust-sidecar/src/lib.rs:12870; rust-sidecar/src/lib.rs:16547; src/components/popups/dictation-popup.tsx:858","Popup close and app focus bugs can reappear because Rust state, Electron window commands, and React window.hide can all change visibility.","The previous fix added dismissed state, but ownership is still split across backend lifecycle state, Electron windows, and popup code.","Create an overlay controller contract where backend emits state only, Electron owns window visibility, and React requests state transitions without hiding itself directly.","React popup no longer hides or shows its own window. Remaining backend and Electron ownership contract needs coverage.",Partial
AUD-009,P2,Meeting UX,Meeting overlay hides as soon as background processing begins,"rust-sidecar/src/lib.rs:14069; rust-sidecar/src/lib.rs:14080; rust-sidecar/src/lib.rs:14089; rust-sidecar/src/lib.rs:14099","Users may miss processing, transcript-refresh, or error state after stopping a meeting, which weakens the Granola-style trust UX.","The stop path switches to processing, hides the overlay, then continues transcription in a detached task.","Keep a visible processing state in the main meeting surface and optionally keep a compact overlay until transcript-first-available or failure. Make background task status resumable after restart.","Packaged meeting processing UX scenario that verifies spinner, status, transcript refresh, export readiness, and error recovery.",Open
AUD-010,P2,Reliability,Audio callback paths can panic on poisoned mutexes,"rust-sidecar/src/audio.rs:415; rust-sidecar/src/audio.rs:489; rust-sidecar/src/audio.rs:533; rust-sidecar/src/audio.rs:577","A lock poisoning event in the audio thread can take down dictation instead of surfacing a recoverable error.","Audio callback closures used lock().unwrap() in production capture paths.","Replace unwraps with poison-safe handling that logs once, stops capture cleanly, and emits a user-facing recovery event.","Rust compile coverage now covers poison-safe callback helper usage. Follow-up can add direct poisoned-lock unit coverage.",Fixed
AUD-011,P2,Reliability,One fixed 60 second IPC timeout covers every sidecar command,"electron/ipc-bridge.ts:315; electron/ipc-bridge.ts:325; electron/ipc-command-policy.ts:1","Long model downloads, backups, repair actions, and live ASR probes can time out through the renderer even when the backend is still working.","The IPC bridge lacked command classes, progress-aware commands, cancellation, and per-command timeout policy.","Add timeout classes to the command catalog, use short timeouts for UI reads, long or progress-bound flows for downloads and backups, and return cancellable operation IDs for long work.","Vitest covers short, default, long, and extended timeout policy. Cancellable operation IDs remain a future enhancement.",Partial
AUD-012,P2,Security,Sidecar receives the full Electron process environment,"electron/ipc-bridge.ts:241; electron/ipc-bridge.ts:243; electron/sidecar-env.ts:1","Secrets loaded into the Electron process are inherited by the sidecar and any sidecar child process, increasing blast radius.","The sidecar spawn used env: process.env wholesale.","Spawn the sidecar with an explicit allowlist for required runtime variables and prefer keychain or provider secret storage for cloud keys.","Vitest covers allowed runtime/provider variables and excludes unrelated token-shaped values.",Fixed
AUD-013,P2,Release engineering,Verification scripts still generate or rewrite artifacts,"scripts/verify-dictation-app-matrix.mjs:289; scripts/verify-benchmark-gates.mjs:167; scripts/verify-launch-claims.mjs:182","Running gates can dirty the worktree and make it hard to tell product fixes from regenerated evidence.","Some verify scripts also write output artifacts, and gate scripts mix generate and verify responsibilities.","Split generate and verify commands, make verify commands read-only by default, and reserve writes for explicit refresh commands.","Doc-command hygiene check plus a script test that verify mode leaves git status unchanged.",Open
AUD-014,P2,Release scope,Linux release targets remain configured even though GA excludes Linux,"electron-builder.yml:45; electron-builder.yml:51; docs/CODE_SIGNING.md:84","Accidental Linux artifacts could create unsupported release expectations and extra security or signing obligations.","The packaging config contained Linux targets while release docs and plans treat macOS and Windows as GA blockers.","Mark Linux experimental, remove it from default release scripts, or require an explicit linux build script with no launch claims.","Release config now omits Linux targets from GA config. Follow-up can add a config assertion.",Fixed
AUD-015,P2,Startup reliability,DownloadManager default can panic during app setup,"rust-sidecar/src/download/mod.rs:680","A missing or unwritable data path can crash setup instead of producing a repairable startup error.","Default called Self::new().expect instead of returning an error through app initialization.","Remove Default for fallible construction or make AppState::new return a typed setup error that the Electron shell can show.","Default now falls back to a temp model directory instead of panicking. Typed startup setup errors remain future hardening.",Mitigated
AUD-016,P3,Frontend typing,Settings still relies on broad event any casts,"src/components/views/settings-view-simple.tsx:1565; src/components/views/settings-view-simple.tsx:1651; src/components/views/settings-view-simple.tsx:1846","Form regressions can slip through because change events and value coercion are not consistently typed.","Large hand-written settings form uses repeated inline handlers with any.","Introduce small typed setting controls for text, number, switch, select, and textarea fields, then remove broad event casts.","Typecheck plus component tests for representative controls.",Open
AUD-017,P3,Legacy migration cleanup,Backend facade is still the main source for domain modules,"src/lib/backend.ts:1; src/lib/backend/asr.ts:1; src/lib/backend/settings.ts:1","Dead-code cleanup is passing, but the frontend still depends on a large compatibility facade that slows future IPC cleanup.","Domain modules re-export from a legacy backend file instead of owning narrow generated clients.","Move command wrappers into domain modules, keep a temporary compatibility barrel only where needed, then delete the facade once imports are migrated.","Knip gate plus import-boundary test preventing new imports from the facade.",Open
